index,level1,level2,level3,year,module_code,module_description,difficulty,attribute
352,Number,Addition and Subtraction,"Inverse Operations, Estimating and Checking Answers",5,A,"use rounding to check answers to calculations and determine, in the context of a problem, levels of accuracy",4_cannot,No negative numbers. No recurring decimals. No complex statistical analysis that is beyond the scope of primary curriculum. No very abstract contexts where real-world application of accuracy is not clear.
353,Number,Addition and Subtraction,"Inverse Operations, Estimating and Checking Answers",6,A,"use estimation to check answers to calculations and determine, in the context of a problem, levels of accuracy.",1_can,"Use rounding to the nearest 100, 1000, or 10,000 to estimate and check answers to addition/subtraction calculations with numbers up to 100,000. Determine a sensible level of accuracy (e.g., ""to the nearest thousand"") for simple, explicit contexts."
354,Number,Addition and Subtraction,"Inverse Operations, Estimating and Checking Answers",6,A,"use estimation to check answers to calculations and determine, in the context of a problem, levels of accuracy.",1_cannot,"Do not use numbers >100,000. No decimals or fractions. No negative numbers. No complex calculations or mixed operations. No problems requiring subtle accuracy determination."
355,Number,Addition and Subtraction,"Inverse Operations, Estimating and Checking Answers",6,A,"use estimation to check answers to calculations and determine, in the context of a problem, levels of accuracy.",2_can,"Use rounding to any relevant place value to estimate and check answers for calculations with numbers up to 1,000,000. Determine appropriate levels of accuracy in familiar contexts (e.g., population, distances) for calculations involving addition/subtraction. Questions involve identifying if an estimated answer is reasonable or selecting the best rounding strategy."
356,Number,Addition and Subtraction,"Inverse Operations, Estimating and Checking Answers",6,A,"use estimation to check answers to calculations and determine, in the context of a problem, levels of accuracy.",2_cannot,"Do not use numbers >1,000,000. No negative numbers. No complex calculations or mixed operations with decimals. No highly abstract contexts."
357,Number,Addition and Subtraction,"Inverse Operations, Estimating and Checking Answers",6,A,"use estimation to check answers to calculations and determine, in the context of a problem, levels of accuracy.",3_can,"Use estimation strategies (including rounding to various significant places) to check answers to calculations with numbers up to 10,000,000 and decimals (up to 2 decimal places). Determine and justify levels of accuracy for answers in varied real-world contexts. Questions involve comparing estimated and exact answers, or explaining the choice of rounding."
358,Number,Addition and Subtraction,"Inverse Operations, Estimating and Checking Answers",6,A,"use estimation to check answers to calculations and determine, in the context of a problem, levels of accuracy.",3_cannot,"Do not use numbers >10,000,000. No negative results where the initial context implies positive values. No complex statistical or scientific contexts demanding specific types of accuracy beyond typical primary applications."
359,Number,Addition and Subtraction,"Inverse Operations, Estimating and Checking Answers",6,A,"use estimation to check answers to calculations and determine, in the context of a problem, levels of accuracy.",4_can,"Fluently use estimation strategies and rounding to required degrees of accuracy to check answers to complex calculations involving large whole numbers (up to 10,000,000) and decimals (up to 3 decimal places). Critically analyze problems to determine, justify, and apply the most appropriate levels of accuracy. Questions involve identifying significant errors, evaluating conflicting information, or solving open-ended problems where estimation and accuracy are crucial for decision-making."
360,Number,Addition and Subtraction,"Inverse Operations, Estimating and Checking Answers",6,A,"use estimation to check answers to calculations and determine, in the context of a problem, levels of accuracy.",4_cannot,"No concepts beyond estimation, checking, and accuracy determination. No statistical methods like mean/median/mode (unless simple calculation and rounding of result). No highly abstract or theoretical problems."
361,Number,Multiplication and Division,Multiplication & Division Facts,1,A,"count in multiples of twos, fives and tens (copied from Number and Place Value)",1_can,"Count forwards in 2s, 5s, 10s from 0 up to 20. Questions are direct sequences or identifying the next term. Use concrete objects/pictures for grouping (e.g., pairs of socks, fingers in fives)."
362,Number,Multiplication and Division,Multiplication & Division Facts,1,A,"count in multiples of twos, fives and tens (copied from Number and Place Value)",1_cannot,Do not count backwards. Do not count beyond 20. Do not start from a non-zero number. No missing numbers in sequences beyond the immediate next term. No word problems. No identifying odd/even numbers.
363,Number,Multiplication and Division,Multiplication & Division Facts,1,A,"count in multiples of twos, fives and tens (copied from Number and Place Value)",2_can,"Count forwards and backwards in 2s, 5s, 10s from 0 up to 50. Questions include simple missing numbers in sequences (e.g., 2, 4, __, 8). Can identify whether a number is odd or even for numbers up to 20."
364,Number,Multiplication and Division,Multiplication & Division Facts,1,A,"count in multiples of twos, fives and tens (copied from Number and Place Value)",2_cannot,Do not count beyond 50. Do not start from a non-zero number for multiples. No complex missing number problems. No word problems for multiples. No odd/even for numbers >20.
365,Number,Multiplication and Division,Multiplication & Division Facts,1,A,"count in multiples of twos, fives and tens (copied from Number and Place Value)",3_can,"Count forwards and backwards in 2s, 5s, 10s from 0 up to 100. Identify patterns in sequences of multiples. Accurately identify odd and even numbers up to 100. Questions involve finding specific terms in sequences or simple statements about odd/even."
366,Number,Multiplication and Division,Multiplication & Division Facts,1,A,"count in multiples of twos, fives and tens (copied from Number and Place Value)",3_cannot,Do not count beyond 100. No complex word problems for multiples. No non-standard starting points for multiples. No inferring complex patterns beyond simple sequences.
367,Number,Multiplication and Division,Multiplication & Division Facts,1,A,"count in multiples of twos, fives and tens (copied from Number and Place Value)",4_can,"Fluently count forwards and backwards in 2s, 5s, 10s from any number up to 100. Apply understanding of odd/even numbers to problems. Questions involve identifying errors in sequences of multiples, or using counting to solve simple contextual problems (e.g., ""How many pairs of socks are needed for 12 feet?"")."
368,Number,Multiplication and Division,Multiplication & Division Facts,1,A,"count in multiples of twos, fives and tens (copied from Number and Place Value)",4_cannot,"No counting beyond 100. No other skip counts (e.g., 3s, 4s). No negative numbers. No multi-step problems that do not primarily focus on counting in multiples."
369,Number,Multiplication and Division,Multiplication & Division Facts,2,B,"recall and use multiplication and division facts for the 2, 5 and 10 multiplication tables, including recognising odd and even numbers",1_can,"Recall and use multiplication facts for 2x, 5x, 10x tables up to 5x. Use repeated addition and arrays to support understanding. Identify odd/even numbers up to 10. Questions are direct calculations or simple representations."
370,Number,Multiplication and Division,Multiplication & Division Facts,2,B,"recall and use multiplication and division facts for the 2, 5 and 10 multiplication tables, including recognising odd and even numbers",1_cannot,Do not recall/use facts beyond 5x for any table. Do not use division facts. Do not identify odd/even numbers >10. No word problems. No complex visual representations.
371,Number,Multiplication and Division,Multiplication & Division Facts,2,B,"recall and use multiplication and division facts for the 2, 5 and 10 multiplication tables, including recognising odd and even numbers",2_can,"Recall and use multiplication facts for 2x, 5x, 10x tables up to 10x. Identify odd/even numbers up to 50. Use related division facts for 2x, 5x, 10x (e.g., 20ÃÂ·5=4). Questions include direct calculations, simple missing number problems for multiplication/division facts, or identifying odd/even numbers."
372,Number,Multiplication and Division,Multiplication & Division Facts,2,B,"recall and use multiplication and division facts for the 2, 5 and 10 multiplication tables, including recognising odd and even numbers",2_cannot,Do not recall/use facts beyond 10x. No complex missing number problems. No numbers >50 for odd/even. No complex word problems or multi-step problems. No inferring unknown facts.
373,Number,Multiplication and Division,Multiplication & Division Facts,2,B,"recall and use multiplication and division facts for the 2, 5 and 10 multiplication tables, including recognising odd and even numbers",3_can,"Recall and use multiplication and division facts for 2x, 5x, and 10x tables fluently. Apply facts to solve simple word problems (e.g., ""There are 4 children, each has 5 sweets. How many altogether?""). Identify patterns in odd/even numbers. Questions may involve identifying errors in calculations or statements about odd/even."
374,Number,Multiplication and Division,Multiplication & Division Facts,2,B,"recall and use multiplication and division facts for the 2, 5 and 10 multiplication tables, including recognising odd and even numbers",3_cannot,Do not go beyond 10x for recall. No other multiplication tables. No complex word problems requiring multiple interpretations or steps. No negative numbers.
375,Number,Multiplication and Division,Multiplication & Division Facts,2,B,"recall and use multiplication and division facts for the 2, 5 and 10 multiplication tables, including recognising odd and even numbers",4_can,"Fluently recall and use multiplication and division facts for 2x, 5x, and 10x tables. Confidently identify and apply odd and even number properties. Questions involve solving multi-step word problems (up to 2 steps) that require quick recall of facts, or reasoning about number properties in varied contexts (e.g., ""If I put numbers into groups of 5, will there be any left over if the number is even?"")."
376,Number,Multiplication and Division,Multiplication & Division Facts,2,B,"recall and use multiplication and division facts for the 2, 5 and 10 multiplication tables, including recognising odd and even numbers",4_cannot,No other multiplication tables. No numbers beyond what is typical for Year 2 fact application. No fractions or decimals. No complex algebraic reasoning.
377,Number,Multiplication and Division,Multiplication & Division Facts,3,B,"recall and use multiplication and division facts for the 3, 4 and 8 multiplication tables",1_can,"Recall and use multiplication facts for 3x, 4x, 8x tables up to 5x. Use arrays and repeated addition for support. Questions are direct calculations or simple visual representations."
378,Number,Multiplication and Division,Multiplication & Division Facts,3,B,"recall and use multiplication and division facts for the 3, 4 and 8 multiplication tables",1_cannot,Do not recall/use facts beyond 5x for any table. Do not use division facts. No word problems. No complex calculations.
379,Number,Multiplication and Division,Multiplication & Division Facts,3,B,"recall and use multiplication and division facts for the 3, 4 and 8 multiplication tables",2_can,"Recall and use multiplication facts for 3x, 4x, 8x tables up to 10x. Use related division facts (e.g., 24ÃÂ·4=6). Questions include direct calculations, simple missing number problems, or simple, explicit word problems (e.g., ""How many wheels on 6 cars?"")."
380,Number,Multiplication and Division,Multiplication & Division Facts,3,B,"recall and use multiplication and division facts for the 3, 4 and 8 multiplication tables",2_cannot,Do not recall/use facts beyond 10x. No complex missing number problems. No multi-step problems. No inferring facts. No mixed tables in one problem.
381,Number,Multiplication and Division,Multiplication & Division Facts,3,B,"recall and use multiplication and division facts for the 3, 4 and 8 multiplication tables",3_can,"Recall and use multiplication and division facts for 3x, 4x, and 8x tables fluently (up to 12x). Apply facts to solve word problems requiring identification of relevant numbers and operation. Questions may involve identifying errors in calculations or applying knowledge to simple data (e.g., pictograms)."
382,Number,Multiplication and Division,Multiplication & Division Facts,3,B,"recall and use multiplication and division facts for the 3, 4 and 8 multiplication tables",3_cannot,Do not go beyond 12x for recall. No other multiplication tables. No complex word problems requiring multiple interpretations or steps. No negative numbers.
383,Number,Multiplication and Division,Multiplication & Division Facts,3,B,"recall and use multiplication and division facts for the 3, 4 and 8 multiplication tables",4_can,"Fluently recall and use multiplication and division facts for 3x, 4x, and 8x tables. Questions involve solving multi-step word problems (up to 2 steps) that require quick recall of facts, or reasoning about factor pairs/multiples. Can involve applying facts to solve problems involving money or measures."
384,Number,Multiplication and Division,Multiplication & Division Facts,3,B,"recall and use multiplication and division facts for the 3, 4 and 8 multiplication tables",4_cannot,No other multiplication tables. No numbers beyond what is typical for Year 3 fact application. No fractions or decimals. No complex algebraic reasoning.
385,Number,Multiplication and Division,Multiplication & Division Facts,4,B,recall multiplication and division facts for multiplication tables up to 12 x 12,1_can,"Recall and use multiplication facts for 6x, 7x, 9x, 11x, 12x tables up to 5x. Use related division facts for these tables (up to 5x). Questions are direct calculations or simple visual representations."
386,Number,Multiplication and Division,Multiplication & Division Facts,4,B,recall multiplication and division facts for multiplication tables up to 12 x 12,1_cannot,Do not recall/use facts beyond 5x for any table. No mixed tables in one question. No word problems. No complex calculations.
387,Number,Multiplication and Division,Multiplication & Division Facts,4,B,recall multiplication and division facts for multiplication tables up to 12 x 12,2_can,"Recall and use multiplication facts for 6x, 7x, 9x, 11x, 12x tables up to 10x. Use related division facts (up to 10x). Fluently recall 2x, 3x, 4x, 5x, 8x, 10x tables. Questions include direct calculations, simple missing number problems for multiplication/division facts, or simple, explicit word problems."
388,Number,Multiplication and Division,Multiplication & Division Facts,4,B,recall multiplication and division facts for multiplication tables up to 12 x 12,2_cannot,"Do not recall/use facts beyond 10x for 6,7,9,11,12 tables. No multi-step problems. No inferring unknown facts. No mixed tables requiring complex mental agility."
389,Number,Multiplication and Division,Multiplication & Division Facts,4,B,recall multiplication and division facts for multiplication tables up to 12 x 12,3_can,Recall and use multiplication and division facts for all multiplication tables up to 12x12 fluently. Apply facts to solve word problems requiring identification of relevant numbers and operation. Questions may involve identifying errors in calculations or applying knowledge to simple data sets.
390,Number,Multiplication and Division,Multiplication & Division Facts,4,B,recall multiplication and division facts for multiplication tables up to 12 x 12,3_cannot,"Do not go beyond 12x12 for recall. No other complex mathematical concepts (e.g., prime numbers, factors beyond direct facts). No negative numbers. No multi-step problems beyond simple application."
391,Number,Multiplication and Division,Multiplication & Division Facts,4,B,recall multiplication and division facts for multiplication tables up to 12 x 12,4_can,"Fluently recall and use multiplication and division facts for all multiplication tables up to 12x12. Questions involve solving multi-step word problems (up to 2 steps) that require quick recall of facts, or reasoning about factor pairs/multiples implicitly. Can involve applying facts to solve problems involving money or measures in more complex scenarios."
392,Number,Multiplication and Division,Multiplication & Division Facts,4,B,recall multiplication and division facts for multiplication tables up to 12 x 12,4_cannot,No numbers beyond what is typical for Year 4 fact application. No fractions or decimals. No complex algebraic reasoning beyond basic missing number problems for facts.
393,Number,Multiplication and Division,Multiplication & Division Facts,5,A,count forwards or backwards in steps of powers of 10 for any given number up to 1 000 000 (copied from Number and Place Value),1_can,"Count forwards/backwards in steps of 10, 100, or 1000 for numbers up to 10,000. Start from a whole number. Questions are direct numerical sequences. Emphasize place value changes."
394,Number,Multiplication and Division,Multiplication & Division Facts,5,A,count forwards or backwards in steps of powers of 10 for any given number up to 1 000 000 (copied from Number and Place Value),1_cannot,"No steps other than 10, 100, 1000. No numbers beyond 10,000. No numbers with decimals. No word problems. No missing numbers in sequences (beyond next/previous)."
395,Number,Multiplication and Division,Multiplication & Division Facts,5,A,count forwards or backwards in steps of powers of 10 for any given number up to 1 000 000 (copied from Number and Place Value),2_can,"Count forwards/backwards in steps of 10, 100, 1000, or 10,000 for numbers up to 100,000. Start from any given whole number. Questions include simple missing number sequences or short verbal instructions (e.g., ""What is 10000 more than 50000?"")."
396,Number,Multiplication and Division,Multiplication & Division Facts,5,A,count forwards or backwards in steps of powers of 10 for any given number up to 1 000 000 (copied from Number and Place Value),2_cannot,"No steps other than specified powers of 10. No numbers beyond 100,000. No decimals. No complex word problems. No multi-step problems."
397,Number,Multiplication and Division,Multiplication & Division Facts,5,A,count forwards or backwards in steps of powers of 10 for any given number up to 1 000 000 (copied from Number and Place Value),3_can,"Count forwards/backwards in steps of 10, 100, 1000, 10,000, or 100,000 for numbers up to 1,000,000. Start from any given whole number. Questions involve generating sequences, identifying patterns, or applying to simple, explicit word problems (e.g., ""Population change"")."
398,Number,Multiplication and Division,Multiplication & Division Facts,5,A,count forwards or backwards in steps of powers of 10 for any given number up to 1 000 000 (copied from Number and Place Value),3_cannot,"No steps other than specified powers of 10. No numbers beyond 1,000,000. No decimals. No complex word problems requiring multiple interpretations."
399,Number,Multiplication and Division,Multiplication & Division Facts,5,A,count forwards or backwards in steps of powers of 10 for any given number up to 1 000 000 (copied from Number and Place Value),4_can,"Count forwards/backwards fluently in steps of powers of 10 (10, 100, 1000, 10,000, 100,000) for any given number up to 1,000,000. Questions include identifying errors in sequences, complex missing number problems, or solving multi-step word problems involving large numbers and place value reasoning. Can involve negative numbers if the context is simple (e.g., ""10000 less than 5000"")."
400,Number,Multiplication and Division,Multiplication & Division Facts,5,A,count forwards or backwards in steps of powers of 10 for any given number up to 1 000 000 (copied from Number and Place Value),4_cannot,"No powers of 10 beyond 100,000 as steps. No numbers beyond 1,000,000. No decimal numbers. No highly abstract problems that require deep conceptual understanding of place value beyond counting."
401,Number,Multiplication and Division,Mental Calculation (M&D),2,A,show that multiplication of two numbers can be done in any order (commutative) and division of one number by another cannot,1_can,"Show commutativity for multiplication of two 1-digit numbers (e.g., 2x3=6 and 3x2=6) using arrays or concrete objects. Demonstrate non-commutativity for division of 1-digit numbers (e.g., 6ÃÂ·2Ã¢â°Â 2ÃÂ·6). Focus on small numbers."
402,Number,Multiplication and Division,Mental Calculation (M&D),2,A,show that multiplication of two numbers can be done in any order (commutative) and division of one number by another cannot,1_cannot,"Do not use numbers >10. Do not use 2-digit numbers. No formal mathematical language (e.g., ""commutative property""). No abstract reasoning."
403,Number,Multiplication and Division,Mental Calculation (M&D),2,A,show that multiplication of two numbers can be done in any order (commutative) and division of one number by another cannot,2_can,"Show commutativity for multiplication of 1-digit by 2-digit numbers (up to 5x10, e.g., 5x10=50 and 10x5=50). Demonstrate non-commutativity for division with products up to 50. Use pictorial representations (e.g., arrays). Questions involve identifying true/false statements about calculation order."
404,Number,Multiplication and Division,Mental Calculation (M&D),2,A,show that multiplication of two numbers can be done in any order (commutative) and division of one number by another cannot,2_cannot,Do not use numbers >50. No complex calculations for multiplication. No formal definitions required from the student. No division with remainders.
405,Number,Multiplication and Division,Mental Calculation (M&D),2,A,show that multiplication of two numbers can be done in any order (commutative) and division of one number by another cannot,3_can,"Show and explain commutativity for multiplication and non-commutativity for division for numbers up to 100. Questions involve justifying why a multiplication sum is the same regardless of order, or why a division sum is not. Can involve simple word problems where reordering might be suggested."
406,Number,Multiplication and Division,Mental Calculation (M&D),2,A,show that multiplication of two numbers can be done in any order (commutative) and division of one number by another cannot,3_cannot,"Do not use numbers >100. No complex calculations for mental methods. No other operations (e.g., addition, subtraction) for demonstrating commutativity of multiplication."
407,Number,Multiplication and Division,Mental Calculation (M&D),2,A,show that multiplication of two numbers can be done in any order (commutative) and division of one number by another cannot,4_can,"Fluently apply and explain the commutative property of multiplication and the non-commutative nature of division for numbers up to 100. Questions involve identifying errors in statements about order, solving multi-step problems where order of operations is key, or reasoning about strategies for efficient mental calculation based on commutativity (e.g., ""Is 3x17 easier as 3x10+3x7 or 17x3?"")."
408,Number,Multiplication and Division,Mental Calculation (M&D),2,A,show that multiplication of two numbers can be done in any order (commutative) and division of one number by another cannot,4_cannot,"No numbers beyond 100. No fractions or decimals. No other mathematical properties (e.g., associativity) unless simplified to order of operation."
409,Number,Multiplication and Division,Mental Calculation (M&D),3,A,"write and calculate mathematical statements for multiplication and division using the multiplication tables that they know, including for two-digit numbers times one-digit numbers, using mental and progressing to formal written methods (appears also in Written Methods)",1_can,"Write and calculate multiplication/division statements for 2x, 5x, 10x tables (up to 12x) using mental recall. Focus on direct calculations. Write simple equations (e.g., 3 x 4 = __)."
410,Number,Multiplication and Division,Mental Calculation (M&D),3,A,"write and calculate mathematical statements for multiplication and division using the multiplication tables that they know, including for two-digit numbers times one-digit numbers, using mental and progressing to formal written methods (appears also in Written Methods)",1_cannot,"Do not use 3x, 4x, 8x tables. Do not multiply 2-digit by 1-digit numbers. Do not use formal written methods. No word problems. No complex missing number problems."
411,Number,Multiplication and Division,Mental Calculation (M&D),3,A,"write and calculate mathematical statements for multiplication and division using the multiplication tables that they know, including for two-digit numbers times one-digit numbers, using mental and progressing to formal written methods (appears also in Written Methods)",2_can,"Write and calculate multiplication/division statements for 2x, 5x, 10x, 3x, 4x, 8x tables (up to 12x) using mental recall. Calculate 2-digit by 1-digit numbers mentally where no carrying is needed (e.g., 23x3 = 69). Questions involve direct calculations or simple missing number facts."
412,Number,Multiplication and Division,Mental Calculation (M&D),3,A,"write and calculate mathematical statements for multiplication and division using the multiplication tables that they know, including for two-digit numbers times one-digit numbers, using mental and progressing to formal written methods (appears also in Written Methods)",2_cannot,Do not use 2-digit by 1-digit numbers that require carrying for mental calculation. No formal written methods. No complex word problems or multi-step problems.
413,Number,Multiplication and Division,Mental Calculation (M&D),3,A,"write and calculate mathematical statements for multiplication and division using the multiplication tables that they know, including for two-digit numbers times one-digit numbers, using mental and progressing to formal written methods (appears also in Written Methods)",3_can,"Write and calculate multiplication/division statements for all known tables (2,3,4,5,8,10x up to 12x) mentally. Calculate 2-digit by 1-digit numbers mentally with carrying (e.g., 27x3 = 81). Begin progressing to formal written methods for 2-digit by 1-digit where mental is hard. Questions involve simple word problems (e.g., ""Each student has 15 pencils, there are 3 students. How many pencils?"")."
414,Number,Multiplication and Division,Mental Calculation (M&D),3,A,"write and calculate mathematical statements for multiplication and division using the multiplication tables that they know, including for two-digit numbers times one-digit numbers, using mental and progressing to formal written methods (appears also in Written Methods)",3_cannot,Do not use 3-digit numbers. No complex calculations that are clearly more suited to formal written methods without explicit progression guidance. No negative numbers or decimals/fractions.
415,Number,Multiplication and Division,Mental Calculation (M&D),3,A,"write and calculate mathematical statements for multiplication and division using the multiplication tables that they know, including for two-digit numbers times one-digit numbers, using mental and progressing to formal written methods (appears also in Written Methods)",4_can,"Fluently write and calculate mathematical statements for multiplication and division facts up to 12x12 mentally. Confidently use mental methods for 2-digit by 1-digit multiplication, including multi-step mental calculations (e.g., 25x3 then + 5). Begin using formal written methods for 2-digit x 1-digit where appropriate, with accurate layout. Questions involve identifying efficient methods (mental vs. written), solving multi-step word problems, or reasoning about calculations."
416,Number,Multiplication and Division,Mental Calculation (M&D),3,A,"write and calculate mathematical statements for multiplication and division using the multiplication tables that they know, including for two-digit numbers times one-digit numbers, using mental and progressing to formal written methods (appears also in Written Methods)",4_cannot,No numbers beyond 2-digits x 1-digit. No written methods for division. No complex abstract problems.
417,Number,Multiplication and Division,Mental Calculation (M&D),4,A,"use place value, known and derived facts to multiply and divide mentally, including: multiplying by 0 and 1; dividing by 1; multiplying together three numbers",1_can,"Multiply by 0 and 1, divide by 1 (any whole number). Mentally multiply/divide numbers by 10 and 100 (whole numbers, up to 1000). Use known facts (e.g., 4x6=24, so 40x6=240). Questions are direct calculations. No more than two numbers in multiplication."
418,Number,Multiplication and Division,Mental Calculation (M&D),4,A,"use place value, known and derived facts to multiply and divide mentally, including: multiplying by 0 and 1; dividing by 1; multiplying together three numbers",1_cannot,"Do not multiply/divide by 1000. Do not multiply three numbers. No decimals. No complex derived facts (e.g., 4x16). No word problems. No division with remainders."
419,Number,Multiplication and Division,Mental Calculation (M&D),4,A,"use place value, known and derived facts to multiply and divide mentally, including: multiplying by 0 and 1; dividing by 1; multiplying together three numbers",2_can,"Multiply/divide any whole number by 0, 1, 10, 100, 1000. Use known and derived facts to mentally multiply/divide multiples of 10/100/1000 (e.g., 3x400=1200, 2400ÃÂ·4=600). Mentally multiply three 1-digit numbers (e.g., 2x3x4). Can include simple, explicit word problems."
420,Number,Multiplication and Division,Mental Calculation (M&D),4,A,"use place value, known and derived facts to multiply and divide mentally, including: multiplying by 0 and 1; dividing by 1; multiplying together three numbers",2_cannot,"Do not use decimals or fractions. No complex derived facts (e.g., 14x6). No division with remainders that needs interpretation beyond simple whole number. No complex word problems or multi-step problems."
421,Number,Multiplication and Division,Mental Calculation (M&D),4,A,"use place value, known and derived facts to multiply and divide mentally, including: multiplying by 0 and 1; dividing by 1; multiplying together three numbers",3_can,"Mentally multiply/divide using place value and known/derived facts (e.g., 15x4=60, 120ÃÂ·3=40). Mentally multiply three numbers, including those with 2-digit products in intermediate steps (e.g., 5x6x7). Questions involve identifying efficient mental strategies or applying skills to solve simple word problems."
422,Number,Multiplication and Division,Mental Calculation (M&D),4,A,"use place value, known and derived facts to multiply and divide mentally, including: multiplying by 0 and 1; dividing by 1; multiplying together three numbers",3_cannot,Do not use decimals or fractions. No calculations that are more efficiently solved with written methods. No negative results.
423,Number,Multiplication and Division,Mental Calculation (M&D),4,A,"use place value, known and derived facts to multiply and divide mentally, including: multiplying by 0 and 1; dividing by 1; multiplying together three numbers",4_can,"Fluently use place value and known/derived facts to multiply and divide mentally, including multiplying by 0 and 1, dividing by 1, and multiplying together three numbers. Questions involve solving multi-step word problems (up to 3 steps) where mental calculation is appropriate, identifying errors in calculations, or justifying mental methods for approximation. Can involve calculations with factors and multiples implicitly."
424,Number,Multiplication and Division,Mental Calculation (M&D),4,A,"use place value, known and derived facts to multiply and divide mentally, including: multiplying by 0 and 1; dividing by 1; multiplying together three numbers",4_cannot,"No calculations that clearly require formal written methods. No negative results. No decimals or fractions. No highly abstract problems (e.g., prime factorization)."
425,Number,Multiplication and Division,Mental Calculation (M&D),5,A,multiply and divide numbers mentally drawing upon known facts,1_can,"Mentally multiply/divide by 10, 100, 1000 (whole numbers up to 10,000). Mentally multiply/divide numbers within known tables beyond 12x12 (e.g., 13x2, 24ÃÂ·2). Questions are direct calculations or simple missing number problems."
426,Number,Multiplication and Division,Mental Calculation (M&D),5,A,multiply and divide numbers mentally drawing upon known facts,1_cannot,Do not use decimals. Do not use complex calculations beyond single multiplications/divisions. No multi-step problems. No negative numbers. No calculations requiring formal methods.
427,Number,Multiplication and Division,Mental Calculation (M&D),5,A,multiply and divide numbers mentally drawing upon known facts,2_can,"Mentally multiply/divide multiples of powers of 10 (e.g., 300x40, 6000ÃÂ·200). Mentally multiply/divide numbers up to 4 digits by 1-digit (e.g., 2345x3, 4860ÃÂ·4) where no carrying/borrowing or simple carrying/borrowing is needed. Can involve simple, explicit word problems."
428,Number,Multiplication and Division,Mental Calculation (M&D),5,A,multiply and divide numbers mentally drawing upon known facts,2_cannot,Do not use decimals or fractions. No complex calculations that are clearly better suited for written methods. No complex word problems. No negative results.
429,Number,Multiplication and Division,Mental Calculation (M&D),5,A,multiply and divide numbers mentally drawing upon known facts,3_can,"Mentally multiply/divide any whole number up to 4 digits by a 1-digit number (e.g., 345x6, 848ÃÂ·4) using known facts and partitioning. Mentally multiply/divide by 20, 50, 25 (e.g., 12x20, 150ÃÂ·50). Questions involve identifying efficient mental strategies or solving multi-step word problems (up to 2 steps) requiring mental calculation."
430,Number,Multiplication and Division,Mental Calculation (M&D),5,A,multiply and divide numbers mentally drawing upon known facts,3_cannot,No decimals or fractions for mental calculation. No problems that are clearly designed for formal written methods. No negative results. No multi-digit divisors for division.
431,Number,Multiplication and Division,Mental Calculation (M&D),5,A,multiply and divide numbers mentally drawing upon known facts,4_can,"Fluently multiply and divide numbers mentally drawing upon known facts and a range of strategies (e.g., factorising, compensating, partitioning). Questions include solving multi-step word problems (3+ steps) where mental calculation is the expectation, identifying errors in calculations, or justifying mental methods for approximation. Can involve problems with mild extraneous information."
432,Number,Multiplication and Division,Mental Calculation (M&D),5,A,multiply and divide numbers mentally drawing upon known facts,4_cannot,"No calculations that clearly require formal written methods (e.g., long multiplication/division). No negative results. No decimals or fractions in complex mental calculations."
433,Number,Multiplication and Division,Mental Calculation (M&D),6,A,"perform mental calculations, including with mixed operations and large numbers",1_can,"Mentally add/subtract large whole numbers (up to 100,000) for simple sums (e.g., 25,000 + 10,000). Mentally perform single mixed operations with smaller numbers (e.g., 5 + 3 x 2). Apply order of operations for basic sums (e.g., 2 + 3 x 4)."
434,Number,Multiplication and Division,Mental Calculation (M&D),6,A,"perform mental calculations, including with mixed operations and large numbers",1_cannot,"Do not use numbers >100,000. Do not use decimals or fractions. No complex mixed operations (e.g., involving division, brackets). No negative results from subtraction. No multi-step problems for mixed operations."
435,Number,Multiplication and Division,Mental Calculation (M&D),6,A,"perform mental calculations, including with mixed operations and large numbers",2_can,"Mentally add/subtract large whole numbers (up to 1,000,000), including crossing boundaries (e.g., 95,000 + 7,000). Mentally perform mixed operations with up to three terms (e.g., 10 - 2 x 3 + 4), ensuring clear order of operations. Can involve simple word problems requiring these calculations."
436,Number,Multiplication and Division,Mental Calculation (M&D),6,A,"perform mental calculations, including with mixed operations and large numbers",2_cannot,"Do not use numbers >1,000,000. No decimals or fractions. No complex mixed operations requiring complex order of operations (e.g., multiple brackets, exponents). No negative results for mental calculations."
437,Number,Multiplication and Division,Mental Calculation (M&D),6,A,"perform mental calculations, including with mixed operations and large numbers",3_can,"Mentally perform calculations with large whole numbers (up to 10,000,000), including non-standard partitioning for sums/differences. Mentally perform mixed operations using brackets and standard order of operations with whole numbers (e.g., (12+8) ÃÂ· 4 + 5). Questions include identifying efficient mental strategies for complex problems, or estimating answers to multi-step problems."
438,Number,Multiplication and Division,Mental Calculation (M&D),6,A,"perform mental calculations, including with mixed operations and large numbers",3_cannot,Do not use negative results from calculations. No decimals or fractions in complex mental mixed operations. No problems that are clearly designed for written methods.
439,Number,Multiplication and Division,Mental Calculation (M&D),6,A,"perform mental calculations, including with mixed operations and large numbers",4_can,"Fluently perform mental calculations with mixed operations and large whole numbers (up to 10,000,000), including those that involve properties of numbers (e.g., factors, multiples) implicitly. Apply the order of operations (BODMAS/PEMDAS) confidently to multi-step expressions. Questions include creating complex expressions, identifying errors in multi-step solutions, solving inverse problems mentally, or justifying mental strategies for complex scenarios."
